commanded_X_mm,error_right_mm,correction_right_mm,error_left_mm,correction_left_mm
0.0,,,0.685,-0.685
20.0,0.335,-0.335,0.685,-0.685
40.0,0.425,-0.425,0.75,-0.75
60.0,0.265,-0.265,0.82,-0.82
80.0,0.475,-0.475,0.845,-0.845
100.0,0.655,-0.655,0.87,-0.87
120.0,0.725,-0.725,0.8,-0.8
140.0,0.665,-0.665,0.75,-0.75
160.0,0.665,-0.665,0.73,-0.73
180.0,0.755,-0.755,0.72,-0.72
200.0,0.86,-0.86,0.8,-0.8
220.0,0.965,-0.965,0.87,-0.87
240.0,0.98,-0.98,0.93,-0.93
260.0,1.03,-1.03,0.925,-0.925
280.0,1.05,-1.05,0.94,-0.94
300.0,1.07,-1.07,0.865,-0.865
320.0,1.005,-1.005,0.835,-0.835
340.0,1.01,-1.01,0.87,-0.87
360.0,1.07,-1.07,0.93,-0.93
380.0,1.165,-1.165,0.995,-0.995
400.0,1.225,-1.225,1.015,-1.015
420.0,1.25,-1.25,0.91,-0.91
440.0,1.23,-1.23,0.925,-0.925
460.0,1.105,-1.105,0.86,-0.86
480.0,1.04,-1.04,0.83,-0.83
500.0,1.02,-1.02,0.785,-0.785
520.0,1.04,-1.04,0.77,-0.77
540.0,1.07,-1.07,0.75,-0.75
560.0,1.08,-1.08,0.755,-0.755
580.0,1.05,-1.05,0.745,-0.745
600.0,1.015,-1.015,0.71,-0.71
620.0,0.88,-0.88,0.625,-0.625
640.0,0.8,-0.8,0.49,-0.49
660.0,0.685,-0.685,0.45,-0.45
680.0,0.635,-0.635,0.42,-0.42
700.0,0.635,-0.635,0.425,-0.425
720.0,0.63,-0.63,0.47,-0.47
740.0,0.615,-0.615,0.59,-0.59
760.0,0.615,-0.615,0.57,-0.57
780.0,0.53,-0.53,0.495,-0.495
800.0,0.45,-0.45,0.385,-0.385
820.0,0.455,-0.455,0.295,-0.295
840.0,0.475,-0.475,0.275,-0.275
860.0,0.45,-0.45,0.295,-0.295
880.0,0.465,-0.465,0.295,-0.295
900.0,0.505,-0.505,0.35,-0.35
920.0,0.535,-0.535,0.42,-0.42
940.0,0.54,-0.54,0.4,-0.4
960.0,0.475,-0.475,0.43,-0.43
980.0,0.45,-0.45,0.33,-0.33
1000.0,0.43,-0.43,0.345,-0.345
1020.0,0.415,-0.415,0.31,-0.31
1040.0,0.385,-0.385,0.405,-0.405
1060.0,0.395,-0.395,0.46,-0.46
1080.0,0.435,-0.435,0.495,-0.495
1100.0,0.49,-0.49,0.51,-0.51
1120.0,0.49,-0.49,0.47,-0.47
1140.0,0.465,-0.465,0.39,-0.39
1160.0,0.44,-0.44,0.37,-0.37
1180.0,0.4,-0.4,0.37,-0.37
1200.0,0.42,-0.42,0.415,-0.415
1220.0,0.43,-0.43,0.485,-0.485
1240.0,0.39,-0.39,0.535,-0.535
1260.0,0.385,-0.385,0.545,-0.545
1280.0,0.33,-0.33,0.485,-0.485
1300.0,0.2,-0.2,0.35,-0.35
1320.0,0.18,-0.18,0.295,-0.295
1340.0,0.15,-0.15,0.28,-0.28
1360.0,0.14,-0.14,0.305,-0.305
1380.0,0.13,-0.13,0.395,-0.395
1400.0,0.17,-0.17,0.44,-0.44
1420.0,0.185,-0.185,0.44,-0.44
1440.0,0.165,-0.165,0.35,-0.35
1460.0,0.1,-0.1,0.24,-0.24
1480.0,-0.005,0.005,0.1,-0.1
1500.0,-0.05,0.05,0.0,-0.0
1520.0,-0.08,0.08,,
