commanded_Z_mm,error_up_mm,correction_up_mm,error_down_mm,correction_down_mm
-40.0,0.0,0.0,0.0,0.0
-35.0,0.0,0.0,0.0,0.0
-30.0,0.0,0.0,0.0,0.0
-25.0,0.0,0.0,0.0,0.0
-20.0,0.0,0.0,0.0,0.0
-15.0,0.0,0.0,0.0,0.0
-10.0,0.0,0.0,0.0,0.0
-5.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0
65.0,0.0,0.0,0.0,0.0
70.0,0.0,0.0,0.0,0.0
75.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0,0.0
